assessment_id,enrollment_id,assessment_type,assessment_score,assessment_date
1,1,Pre,52,2024-05-31
2,1,Post,51,2024-06-20
3,2,Pre,58,2025-03-30
4,3,Pre,49,2025-04-11
5,3,Post,64,2025-05-05
6,4,Pre,49,2024-06-15
7,4,Post,66,2024-06-30
8,5,Pre,55,2024-02-23
9,6,Pre,57,2024-05-25
10,6,Post,80,2024-06-21
11,7,Pre,50,2025-10-05
12,7,Post,60,2025-10-18
13,8,Pre,73,2025-09-19
14,9,Pre,52,2024-11-27
15,9,Post,68,2024-12-20
16,10,Pre,72,2024-02-27
17,12,Pre,49,2025-06-19
18,12,Post,59,2025-07-17
19,13,Pre,47,2025-01-03
20,14,Pre,61,2024-12-17
21,15,Pre,84,2024-03-04
22,15,Post,96,2024-03-29
23,16,Pre,56,2024-06-07
24,16,Post,57,2024-06-14
25,17,Pre,58,2024-06-11
26,17,Post,76,2024-06-27
27,18,Pre,82,2025-10-22
28,18,Post,88,2025-10-29
29,19,Pre,56,2025-12-15
30,19,Post,69,2025-12-21
31,21,Pre,59,2025-05-27
32,21,Post,61,2025-06-10
33,22,Pre,69,2025-02-09
34,22,Post,76,2025-03-10
35,23,Pre,69,2025-11-16
36,23,Post,88,2025-12-03
37,24,Pre,47,2024-07-23
38,24,Post,67,2024-08-06
39,25,Pre,63,2024-01-08
40,25,Post,76,2024-01-14
41,26,Pre,70,2025-06-05
42,27,Pre,65,2024-06-04
43,27,Post,79,2024-06-29
44,28,Pre,50,2024-09-29
45,28,Post,52,2024-10-20
46,29,Pre,62,2024-07-25
47,30,Pre,46,2024-11-30
48,31,Pre,60,2024-10-19
49,31,Post,74,2024-11-12
50,32,Pre,62,2025-11-18
51,32,Post,67,2025-12-02
52,33,Pre,71,2024-02-12
53,33,Post,75,2024-02-27
54,34,Pre,45,2024-07-29
55,34,Post,48,2024-08-18
56,35,Pre,72,2026-05-02
57,35,Post,92,2026-05-15
58,36,Pre,59,2024-11-06
59,36,Post,69,2024-11-11
60,37,Pre,48,2025-08-03
61,38,Pre,63,2025-06-07
62,38,Post,73,2025-06-13
63,39,Pre,56,2026-05-31
64,39,Post,71,2026-06-20
65,40,Pre,86,2026-01-07
66,40,Post,95,2026-01-24
67,41,Pre,66,2026-07-31
68,41,Post,73,2026-08-24
69,42,Pre,58,2025-11-14
