employee_skill_id,employee_id,skill_id,proficiency_level
1,1,1,4
2,1,8,2
3,1,9,5
4,1,48,5
5,1,20,4
6,1,21,5
7,1,55,3
8,1,24,2
9,1,57,4
10,1,58,3
11,1,27,1
12,1,30,5
13,2,34,3
14,2,35,1
15,2,36,2
16,2,5,2
17,2,6,1
18,2,8,1
19,2,18,3
20,2,51,3
21,2,21,1
22,2,30,3
23,2,31,2
24,3,1,3
25,3,3,4
26,3,4,3
27,3,39,2
28,3,8,2
29,3,40,2
30,3,9,2
31,3,11,1
32,3,7,2
33,3,43,3
34,3,19,3
35,3,21,2
36,3,22,5
37,4,8,5
38,4,9,5
39,4,11,3
40,4,19,5
41,4,21,5
42,4,22,5
43,4,23,3
44,4,53,4
45,4,25,3
46,4,58,3
47,4,59,5
48,4,30,5
49,5,32,1
50,5,33,1
51,5,1,1
52,5,3,2
53,5,36,2
54,5,9,3
55,5,11,2
56,5,20,3
57,5,25,2
58,5,27,1
59,6,1,2
60,6,39,3
61,6,8,3
62,6,41,1
63,6,9,2
64,6,11,2
65,6,16,3
66,6,49,2
67,6,50,1
68,6,19,1
69,6,51,2
70,6,21,1
71,6,54,3
72,6,26,3
73,7,32,5
74,7,1,4
75,7,34,2
76,7,3,5
77,7,36,5
78,7,2,4
79,7,9,4
80,7,11,3
81,7,21,5
82,7,54,3
83,7,29,5
84,7,31,4
85,8,33,1
86,8,3,3
87,8,5,3
88,8,37,2
89,8,9,2
90,8,43,3
91,8,45,1
92,8,46,4
93,8,47,3
94,8,18,2
95,8,51,3
96,8,20,1
97,8,21,2
98,9,1,3
99,9,33,4
100,9,56,1
101,9,9,1
102,9,48,4
103,9,20,2
104,9,55,3
105,9,24,2
106,9,57,1
107,9,58,2
108,9,59,3
109,9,30,3
110,10,1,5
111,10,3,4
112,10,4,3
113,10,6,4
114,10,8,4
115,10,9,4
116,10,10,1
117,10,13,4
118,10,48,5
119,10,50,1
120,10,19,2
121,10,52,3
122,10,21,3
123,10,60,5
124,11,7,2
125,11,14,2
126,11,15,3
127,11,46,2
128,11,17,3
129,11,18,3
130,11,19,4
131,11,20,2
132,11,21,3
133,12,1,3
134,12,34,4
135,12,35,3
136,12,36,5
137,12,5,3
138,12,11,3
139,12,15,3
140,12,21,4
141,12,23,4
142,12,30,5
143,12,31,4
144,13,1,1
145,13,7,3
146,13,8,1
147,13,9,2
148,13,40,2
149,13,13,1
150,13,15,2
151,13,16,2
152,13,17,2
153,13,18,2
154,13,19,1
155,13,21,2
156,13,31,2
157,14,1,1
158,14,3,3
159,14,4,2
160,14,6,2
161,14,8,2
162,14,9,1
163,14,40,3
164,14,48,2
165,14,51,1
166,14,19,3
167,14,52,3
168,14,21,1
169,14,57,3
170,14,60,2
171,15,4,3
172,15,7,5
173,15,8,5
174,15,9,5
175,15,13,5
176,15,14,5
177,15,15,5
178,15,17,4
179,15,18,5
180,15,20,4
181,15,21,5
182,15,25,4
183,15,58,3
184,15,28,5
185,15,30,4
186,16,1,3
187,16,2,4
188,16,3,3
189,16,4,2
190,16,5,2
191,16,8,2
192,16,9,3
193,16,19,4
194,16,51,4
195,16,60,3
196,17,8,2
197,17,9,1
198,17,11,3
199,17,19,1
200,17,23,1
201,17,21,1
202,17,22,3
203,17,53,1
204,17,54,3
205,17,20,2
206,17,58,2
207,17,59,2
208,17,30,2
209,18,1,1
210,18,3,1
211,18,4,1
212,18,5,2
213,18,7,2
214,18,8,2
215,18,9,3
216,18,11,3
217,18,12,2
218,18,19,1
219,18,51,2
220,19,1,1
221,19,7,4
222,19,8,2
223,19,9,3
224,19,11,4
225,19,13,2
226,19,15,2
227,19,16,1
228,19,17,3
229,19,18,4
230,19,19,2
231,19,49,4
232,19,21,4
233,19,56,3
234,20,3,3
235,20,36,2
236,20,5,3
237,20,9,2
238,20,43,2
239,20,45,2
240,20,46,5
241,20,47,3
242,20,14,3
243,20,17,3
244,20,19,3
245,20,20,2
246,20,21,2
247,21,1,5
248,21,3,5
249,21,39,4
250,21,8,3
251,21,40,4
252,21,9,3
253,21,11,3
254,21,41,3
255,21,19,5
256,21,21,5
257,21,55,3
258,22,4,3
259,22,6,3
260,22,8,5
261,22,41,1
262,22,11,5
