requirement_id,job_title,skill_id,required_level
1,Account Manager,20,4
2,Account Manager,30,4
3,Account Manager,58,4
4,Account Manager,21,3
5,Account Manager,8,4
6,Account Manager,1,5
7,Account Manager,48,4
8,Account Manager,9,4
9,Account Manager,25,4
10,Account Manager,28,4
11,Accounts Analyst,19,3
12,Accounts Analyst,39,3
13,Accounts Analyst,3,3
14,Accounts Analyst,37,3
15,Accounts Analyst,40,3
16,Accounts Analyst,41,3
17,Accounts Analyst,1,2
18,Accounts Analyst,42,3
19,Accounts Analyst,38,3
20,Accounts Analyst,8,3
21,Accounts Analyst,11,2
22,Analytics Consultant,12,4
23,Analytics Consultant,21,5
24,Analytics Consultant,8,4
25,Analytics Consultant,4,4
26,Analytics Consultant,19,4
27,Analytics Consultant,3,4
28,Analytics Consultant,5,5
29,Analytics Consultant,6,4
30,Analytics Consultant,9,3
31,BI Analyst,11,4
32,BI Analyst,1,4
33,BI Analyst,19,2
34,BI Analyst,5,3
35,BI Analyst,8,3
36,BI Analyst,7,3
37,BI Analyst,3,2
38,BI Analyst,9,4
39,BI Analyst,4,2
40,BI Analyst,12,3
41,Brand Analyst,9,4
42,Brand Analyst,3,4
43,Brand Analyst,44,4
44,Brand Analyst,45,3
45,Brand Analyst,21,3
46,Brand Analyst,8,3
47,Brand Analyst,5,2
48,Brand Analyst,48,3
49,Brand Analyst,46,4
50,Business Development Executive,48,4
51,Business Development Executive,24,4
52,Business Development Executive,20,3
53,Business Development Executive,55,4
54,Business Development Executive,57,3
55,Business Development Executive,9,3
56,Business Development Executive,30,4
57,Business Development Executive,1,4
58,Business Development Executive,58,3
59,Business Development Executive,56,2
60,Cloud Engineer,19,3
61,Cloud Engineer,51,2
62,Cloud Engineer,8,3
63,Cloud Engineer,52,3
64,Cloud Engineer,3,4
65,Cloud Engineer,6,3
66,Cloud Engineer,60,3
67,Cloud Engineer,4,3
68,Cloud Engineer,9,2
69,Cloud Engineer,21,2
70,Content Strategist,3,3
71,Content Strategist,21,3
72,Content Strategist,47,3
73,Content Strategist,20,2
74,Content Strategist,9,2
75,Content Strategist,45,2
76,Content Strategist,46,4
77,Content Strategist,5,3
78,Content Strategist,43,3
79,Customer Experience Analyst,21,3
80,Customer Experience Analyst,59,3
81,Customer Experience Analyst,9,3
82,Customer Experience Analyst,30,4
83,Customer Experience Analyst,23,3
84,Customer Experience Analyst,53,2
85,Customer Experience Analyst,22,3
86,Customer Experience Analyst,19,3
87,Customer Success Associate,21,3
88,Customer Success Associate,11,4
89,Customer Success Associate,30,3
90,Customer Success Associate,9,2
91,Customer Success Associate,59,3
92,Customer Success Associate,8,4
93,Customer Success Associate,22,3
94,Customer Success Associate,53,2
95,Customer Success Associate,23,2
96,Customer Success Associate,19,3
97,Customer Success Associate,58,3
98,Customer Support Executive,30,3
99,Customer Support Executive,58,4
100,Customer Support Executive,8,4
101,Customer Support Executive,59,3
102,Customer Support Executive,53,3
103,Customer Support Executive,19,3
104,Customer Support Executive,21,2
105,Customer Support Executive,9,3
106,Customer Support Executive,22,4
107,Cybersecurity Analyst,60,4
108,Cybersecurity Analyst,3,3
109,Cybersecurity Analyst,8,3
110,Cybersecurity Analyst,52,2
111,Cybersecurity Analyst,6,3
112,Cybersecurity Analyst,21,2
113,Cybersecurity Analyst,19,3
114,Cybersecurity Analyst,1,4
115,Cybersecurity Analyst,9,3
116,Cybersecurity Analyst,4,3
117,Data Analyst,5,3
118,Data Analyst,21,3
119,Data Analyst,12,2
120,Data Analyst,6,4
121,Data Analyst,19,2
122,Data Analyst,9,3
123,Data Analyst,8,3
124,Data Analyst,2,4
125,Data Analyst,3,3
126,Data Analyst,1,3
127,Data Analyst,11,3
128,Digital Marketing Executive,5,3
129,Digital Marketing Executive,8,2
130,Digital Marketing Executive,3,3
131,Digital Marketing Executive,43,3
132,Digital Marketing Executive,45,3
133,Digital Marketing Executive,13,3
134,Digital Marketing Executive,20,4
135,Digital Marketing Executive,19,3
136,Digital Marketing Executive,44,3
137,Digital Marketing Executive,48,4
138,FP&A Analyst,21,3
139,FP&A Analyst,3,3
140,FP&A Analyst,41,3
141,FP&A Analyst,39,2
142,FP&A Analyst,9,3
143,FP&A Analyst,8,3
144,FP&A Analyst,40,2
145,FP&A Analyst,38,2
146,Finance Executive,11,2
147,Finance Executive,19,4
148,Finance Executive,1,4
149,Finance Executive,3,4
