enrollment_id,employee_id,training_id,enrollment_date,completion_date,completion_status
1,953,31,2024-05-31,2024-06-20,Completed
2,1138,4,2025-03-30,,In Progress
3,221,38,2025-04-11,2025-05-05,Completed
4,1243,17,2024-06-15,2024-06-30,Completed
5,1959,1,2024-02-23,,Dropped
6,1132,18,2024-05-25,2024-06-21,Completed
7,769,21,2025-10-05,2025-10-18,Completed
8,811,5,2025-09-19,,In Progress
9,71,25,2024-11-27,2024-12-20,Completed
10,81,36,2024-02-27,,In Progress
11,1462,4,2024-03-06,,Not Started
12,287,4,2025-06-19,2025-07-17,Completed
13,482,3,2025-01-03,,Not Started
14,693,2,2024-12-17,,In Progress
15,1009,15,2024-03-04,2024-03-29,Completed
16,1618,15,2024-06-07,2024-06-14,Completed
17,1668,6,2024-06-11,2024-06-27,Completed
18,466,7,2025-10-22,2025-10-29,Completed
19,108,25,2025-12-15,2025-12-21,Completed
20,87,6,2024-08-26,,Not Started
21,1955,36,2025-05-27,2025-06-10,Completed
22,1549,24,2025-02-09,2025-03-10,Completed
23,594,18,2025-11-16,2025-12-03,Completed
24,1127,2,2024-07-23,2024-08-06,Completed
25,471,22,2024-01-08,2024-01-14,Completed
26,1192,36,2025-06-05,,Dropped
27,337,15,2024-06-04,2024-06-29,Completed
28,1525,24,2024-09-29,2024-10-20,Completed
29,796,4,2024-07-25,,In Progress
30,525,11,2024-11-30,,Dropped
31,805,3,2024-10-19,2024-11-12,Completed
32,1236,39,2025-11-18,2025-12-02,Completed
33,420,5,2024-02-12,2024-02-27,Completed
34,1522,38,2024-07-29,2024-08-18,Completed
35,1507,30,2026-05-02,2026-05-15,Completed
36,1816,22,2024-11-06,2024-11-11,Completed
37,1327,24,2025-08-03,,Dropped
38,1728,8,2025-06-07,2025-06-13,Completed
39,444,34,2026-05-31,2026-06-20,Completed
40,1940,28,2026-01-07,2026-01-24,Completed
41,1233,30,2026-07-31,2026-08-24,Completed
42,1223,10,2025-11-14,,Dropped
43,509,2,2024-04-19,,Dropped
44,1747,1,2024-02-21,,Dropped
45,1940,9,2024-01-01,2024-01-18,Completed
46,1493,21,2024-06-12,2024-06-26,Completed
47,441,25,2025-03-09,,In Progress
48,764,2,2025-03-03,2025-03-20,Completed
49,1578,1,2024-05-02,2024-05-16,Completed
50,936,38,2026-06-27,,Not Started
51,1874,6,2026-07-30,2026-08-28,Completed
52,1624,1,2026-08-11,,Not Started
53,358,1,2024-03-29,,In Progress
54,933,36,2025-08-16,2025-08-26,Completed
55,554,1,2025-07-30,2025-08-28,Completed
56,1417,4,2024-03-07,2024-03-25,Completed
57,62,1,2025-03-18,,In Progress
58,845,5,2024-01-14,2024-01-27,Completed
59,1345,2,2026-02-27,,Dropped
60,1454,9,2025-05-05,2025-05-18,Completed
61,50,26,2026-06-11,2026-07-09,Completed
62,918,33,2025-10-27,2025-11-21,Completed
63,1711,35,2025-07-26,,Not Started
64,1001,32,2026-01-02,,Dropped
65,97,10,2024-03-31,2024-04-20,Completed
66,1681,18,2024-06-16,2024-07-01,Completed
67,1488,21,2024-05-29,2024-06-21,Completed
68,711,16,2025-08-17,2025-09-04,Completed
69,712,31,2024-05-31,,In Progress
70,1540,36,2025-11-22,2025-12-05,Completed
71,1969,16,2025-09-08,2025-09-16,Completed
72,682,38,2025-10-22,2025-11-17,Completed
73,1105,35,2024-06-17,,Dropped
74,704,19,2026-05-30,,Not Started
75,298,23,2025-07-07,2025-08-04,Completed
76,327,35,2025-08-10,2025-09-10,Completed
77,422,33,2025-02-09,2025-03-01,Completed
78,1804,3,2025-05-28,2025-06-23,Completed
79,213,22,2024-09-17,,Not Started
80,1362,38,2026-01-27,2026-02-20,Completed
81,1614,11,2024-04-29,2024-05-29,Completed
82,765,21,2025-02-08,2025-02-23,Completed
83,449,22,2026-02-06,2026-03-06,Completed
84,218,7,2025-10-21,2025-11-19,Completed
85,1834,30,2026-01-03,2026-02-04,Completed
86,1986,19,2024-04-20,2024-04-26,Completed
87,1424,39,2024-09-04,,In Progress
88,621,33,2025-07-08,2025-07-21,Completed
89,49,1,2024-10-29,2024-11-09,Completed
90,1696,31,2024-03-14,2024-04-05,Completed
91,1948,3,2025-01-01,2025-01-11,Completed
92,1430,23,2024-12-17,2024-12-28,Completed
93,623,16,2025-08-26,,Dropped
94,1301,23,2024-02-12,2024-02-18,Completed
95,1024,11,2024-02-01,2024-02-21,Completed
96,1764,32,2026-02-09,2026-02-18,Completed
97,866,27,2025-09-27,,Dropped
98,1944,39,2025-05-17,,Not Started
99,779,1,2025-05-14,,In Progress
100,178,18,2025-07-10,2025-07-21,Completed
101,1484,34,2025-10-08,,Not Started
102,932,14,2024-12-11,2024-12-30,Completed
103,71,11,2025-07-19,,In Progress
104,1751,17,2025-09-20,2025-09-25,Completed
105,1401,3,2026-06-02,2026-06-12,Completed
106,1916,19,2024-03-11,2024-03-29,Completed
107,563,27,2025-02-01,,In Progress
108,1098,25,2024-02-19,2024-02-27,Completed
109,1430,19,2024-06-27,,Dropped
110,601,35,2024-02-10,2024-02-26,Completed
111,874,3,2024-06-07,,Not Started
112,158,6,2025-05-12,2025-06-01,Completed
113,1589,30,2025-10-31,,Dropped
114,1583,14,2024-11-05,2024-11-19,Completed
115,1773,27,2026-05-15,2026-06-12,Completed
116,911,33,2026-07-22,2026-08-03,Completed
117,286,4,2025-09-11,2025-10-01,Completed
118,1017,13,2025-12-16,2026-01-13,Completed
119,1076,37,2025-01-12,2025-01-17,Completed
120,858,18,2024-10-12,2024-11-07,Completed
121,865,2,2024-03-30,2024-04-28,Completed
122,733,18,2025-06-03,,Dropped
123,1857,38,2024-05-20,2024-05-27,Completed
124,177,22,2025-11-11,2025-12-06,Completed
125,1119,14,2024-09-26,2024-10-25,Completed
126,1345,5,2025-02-27,2025-03-12,Completed
127,476,6,2024-11-03,2024-12-03,Completed
128,801,1,2024-03-02,2024-03-08,Completed
129,231,20,2024-09-29,2024-10-04,Completed
130,622,36,2024-05-20,2024-05-29,Completed
131,1763,18,2024-08-06,2024-08-25,Completed
132,980,18,2024-04-11,2024-05-02,Completed
133,1298,24,2026-05-29,,In Progress
134,300,26,2026-05-28,2026-06-27,Completed
135,140,18,2024-03-15,2024-03-26,Completed
136,1284,30,2026-05-09,2026-05-23,Completed
137,1696,8,2024-03-02,,In Progress
138,88,36,2026-03-10,2026-03-18,Completed
139,1376,28,2025-01-17,2025-02-10,Completed
140,1713,36,2026-02-05,,Dropped
141,982,23,2026-03-20,2026-04-07,Completed
142,1324,36,2025-10-12,2025-11-02,Completed
143,1068,10,2026-03-02,2026-03-27,Completed
144,64,16,2025-07-29,2025-08-26,Completed
145,299,31,2024-02-10,2024-03-01,Completed
146,576,17,2026-04-06,,Not Started
147,700,10,2025-07-02,2025-07-17,Completed
148,1752,38,2025-06-07,2025-07-03,Completed
149,1785,34,2025-08-26,2025-09-21,Completed
150,1240,23,2026-03-15,2026-04-04,Completed
151,691,3,2025-05-16,,Not Started
152,1092,19,2025-10-08,2025-11-01,Completed
153,550,38,2026-06-14,2026-07-02,Completed
154,467,11,2026-07-16,2026-07-28,Completed
155,1160,5,2024-11-09,2024-12-01,Completed
156,1061,26,2024-10-12,2024-10-31,Completed
157,1372,26,2026-02-25,2026-03-28,Completed
158,286,32,2025-12-05,2026-01-01,Completed
159,1405,13,2025-07-09,2025-07-21,Completed
160,1635,17,2025-06-16,2025-07-14,Completed
161,1481,36,2025-10-15,2025-11-05,Completed
162,1618,24,2024-12-11,2025-01-05,Completed
163,1659,19,2024-09-08,2024-10-04,Completed
164,555,38,2025-04-15,2025-04-21,Completed
165,522,23,2024-09-15,2024-10-02,Completed
166,1666,21,2025-02-06,2025-02-15,Completed
167,1663,38,2026-08-08,2026-08-27,Completed
168,1196,33,2025-06-07,2025-06-20,Completed
169,545,2,2025-03-13,2025-04-05,Completed
170,1220,3,2025-03-23,2025-04-05,Completed
171,287,5,2025-01-05,,In Progress
172,112,2,2024-03-12,2024-04-06,Completed
173,1097,9,2026-03-13,2026-04-10,Completed
174,1407,16,2024-02-10,,Dropped
175,1161,2,2024-04-24,2024-05-21,Completed
176,1474,9,2025-03-16,2025-03-28,Completed
177,1267,23,2026-02-08,2026-03-02,Completed
178,725,34,2024-06-04,2024-06-27,Completed
179,649,31,2024-06-24,,In Progress
180,1690,14,2025-07-08,2025-07-17,Completed
181,187,22,2025-09-20,,Not Started
182,553,33,2024-05-07,2024-05-27,Completed
183,453,7,2025-09-16,2025-09-28,Completed
184,1880,6,2024-04-19,2024-05-18,Completed
185,632,16,2026-05-31,2026-06-16,Completed
186,914,6,2024-04-12,,Dropped
187,837,28,2025-03-29,2025-04-15,Completed
188,1743,23,2025-01-24,2025-02-22,Completed
189,557,6,2025-11-20,2025-12-23,Completed
190,1793,20,2024-11-25,2024-12-16,Completed
191,1261,15,2025-03-28,2025-04-13,Completed
192,296,27,2025-09-07,,In Progress
193,1400,14,2026-03-17,2026-03-27,Completed
194,644,13,2024-10-07,2024-10-22,Completed
195,1841,7,2025-09-06,,Dropped
196,1968,1,2026-08-15,2026-09-10,Completed
197,1429,2,2025-12-31,,In Progress
198,797,22,2025-01-03,2025-01-22,Completed
199,894,28,2026-07-20,2026-08-07,Completed
200,523,12,2024-10-02,2024-10-17,Completed
201,981,4,2024-08-12,,Dropped
202,1321,20,2025-06-27,,In Progress
203,1733,1,2025-01-25,2025-02-24,Completed
204,469,3,2026-07-26,2026-08-24,Completed
205,1425,21,2024-09-13,2024-09-24,Completed
206,928,4,2024-05-25,,Dropped
207,571,36,2024-07-09,2024-07-20,Completed
208,342,20,2024-08-25,,Dropped
209,1272,2,2025-11-01,,In Progress
210,1786,39,2026-01-28,2026-02-16,Completed
211,964,38,2026-07-05,2026-07-07,Completed
212,1655,39,2025-09-09,2025-09-13,Completed
213,1583,3,2026-04-16,,In Progress
214,1094,3,2025-04-18,2025-05-09,Completed
215,1482,5,2025-06-30,,Not Started
216,504,32,2024-11-29,,Dropped
217,1570,9,2026-04-12,2026-05-03,Completed
218,1833,2,2024-05-18,2024-06-10,Completed
219,320,34,2024-09-04,,Dropped
220,1709,13,2026-03-12,2026-03-25,Completed
221,932,5,2024-04-22,2024-05-09,Completed
222,1311,23,2024-02-13,2024-03-01,Completed
223,279,1,2025-04-16,2025-05-07,Completed
224,1388,30,2025-07-17,2025-08-05,Completed
225,1821,20,2025-10-24,,Not Started
226,725,32,2025-08-14,2025-09-12,Completed
227,830,30,2025-06-20,,Not Started
228,342,19,2025-05-26,2025-05-31,Completed
229,424,2,2025-01-11,,Dropped
230,237,23,2025-02-26,2025-03-12,Completed
231,766,1,2025-05-13,2025-05-19,Completed
232,442,16,2025-10-15,,In Progress
233,922,36,2026-03-20,,In Progress
234,287,25,2024-11-05,2024-11-14,Completed
235,34,37,2026-07-14,2026-07-31,Completed
236,818,18,2025-04-21,2025-05-01,Completed
237,949,3,2024-02-22,2024-03-07,Completed
238,1838,25,2024-04-13,2024-04-19,Completed
239,718,17,2025-01-30,,Dropped
240,1787,16,2025-09-04,2025-09-24,Completed
241,1130,18,2026-08-14,,Not Started
242,1736,18,2024-12-26,2025-01-08,Completed
243,1889,19,2024-01-12,,Not Started
244,299,30,2025-07-29,2025-08-05,Completed
245,1044,6,2025-06-17,2025-07-09,Completed
246,827,11,2025-09-19,2025-10-13,Completed
247,669,10,2024-02-22,,In Progress
248,1200,3,2025-03-24,,In Progress
249,888,31,2024-02-07,2024-03-03,Completed
250,1493,30,2025-06-02,2025-06-13,Completed
251,1911,33,2024-12-04,2024-12-25,Completed
252,1499,28,2024-09-30,2024-10-29,Completed
253,1874,6,2025-09-23,2025-10-13,Completed
254,452,2,2024-11-06,2024-11-18,Completed
255,399,16,2024-07-17,2024-07-25,Completed
256,875,21,2024-09-18,,Not Started
257,432,1,2024-03-08,2024-03-15,Completed
258,544,28,2026-03-16,2026-04-04,Completed
259,1875,40,2026-08-05,2026-08-11,Completed
260,164,26,2026-04-11,,Dropped
261,1264,29,2025-01-16,,Dropped
262,1958,39,2025-08-13,2025-09-07,Completed
263,678,24,2024-11-30,2024-12-26,Completed
264,1397,34,2025-08-26,2025-09-08,Completed
265,1652,22,2026-07-07,2026-07-11,Completed
266,889,18,2024-12-02,,Not Started
267,616,19,2026-01-11,,Not Started
268,106,39,2024-11-03,,In Progress
269,528,3,2024-05-31,2024-07-05,Completed
270,449,36,2024-09-11,2024-09-17,Completed
271,1897,3,2025-07-09,2025-08-01,Completed
272,1521,15,2025-08-03,2025-08-10,Completed
273,497,4,2025-05-07,,Not Started
274,1358,2,2024-11-17,,Not Started
275,117,16,2026-04-14,2026-05-01,Completed
276,970,40,2024-12-07,,Not Started
277,243,11,2025-05-13,,Dropped
278,1008,38,2025-02-09,2025-02-23,Completed
279,881,35,2024-10-20,2024-11-20,Completed
280,338,12,2025-09-04,2025-09-23,Completed
281,1748,2,2024-03-25,2024-04-25,Completed
282,18,4,2025-03-14,2025-03-22,Completed
283,1914,39,2026-04-07,2026-04-13,Completed
284,106,1,2024-06-30,2024-07-15,Completed
285,1728,13,2025-12-03,,Dropped
286,1434,13,2025-08-08,2025-08-19,Completed
287,1829,11,2024-04-12,2024-05-05,Completed
288,169,40,2025-09-21,2025-09-30,Completed
289,1617,5,2025-02-04,,In Progress
290,1005,3,2025-08-30,2025-09-25,Completed
291,147,34,2024-10-18,2024-11-06,Completed
292,1242,35,2024-06-10,2024-07-08,Completed
293,1055,3,2025-09-13,2025-10-02,Completed
294,66,15,2024-12-12,2025-01-08,Completed
295,969,33,2025-01-02,,Not Started
296,628,10,2025-12-23,,In Progress
297,857,33,2024-08-28,,In Progress
298,1735,11,2024-11-30,2024-12-19,Completed
299,305,27,2024-02-07,2024-03-02,Completed
300,1793,3,2024-04-20,,Not Started
301,259,4,2024-03-16,2024-04-01,Completed
302,1409,11,2024-09-01,2024-09-19,Completed
303,840,3,2025-10-21,2025-11-21,Completed
304,1131,29,2024-11-05,,Not Started
305,430,37,2025-11-02,2025-11-09,Completed
306,801,5,2024-03-08,2024-04-14,Completed
307,517,15,2026-04-12,2026-05-08,Completed
308,1980,15,2025-12-27,,Dropped
309,921,4,2024-11-30,,In Progress
310,1449,16,2024-11-18,,Not Started
311,1540,21,2025-12-17,2026-01-14,Completed
312,337,39,2025-03-01,2025-03-13,Completed
313,304,2,2024-05-23,2024-06-19,Completed
314,1015,39,2026-07-18,2026-07-25,Completed
315,856,1,2024-01-10,2024-02-07,Completed
316,703,32,2025-01-16,2025-01-25,Completed
317,989,31,2025-05-28,2025-06-09,Completed
318,681,26,2026-05-28,,In Progress
319,1035,9,2025-02-04,,Dropped
320,1210,23,2025-09-18,2025-10-17,Completed
321,1946,29,2024-02-10,2024-03-10,Completed
322,1211,21,2025-07-05,,Not Started
323,935,2,2024-12-06,2025-01-01,Completed
324,1285,39,2024-03-05,2024-03-20,Completed
325,1903,17,2026-06-24,2026-07-06,Completed
326,1891,11,2025-08-28,2025-09-10,Completed
327,615,36,2026-05-22,2026-05-31,Completed
328,1369,37,2024-09-17,2024-09-19,Completed
329,1087,7,2024-08-15,,Not Started
330,921,7,2024-01-03,2024-01-12,Completed
331,1644,32,2025-07-02,,In Progress
332,1120,38,2024-01-17,2024-02-11,Completed
333,1628,31,2026-03-17,2026-04-13,Completed
334,1359,2,2025-08-17,2025-09-15,Completed
335,1132,10,2024-04-28,,Dropped
336,1896,40,2025-07-28,,In Progress
337,363,21,2024-07-24,2024-08-09,Completed
338,164,11,2024-09-08,,Not Started
339,43,3,2026-08-11,,In Progress
340,529,5,2024-10-26,2024-11-20,Completed
341,332,37,2024-07-27,,In Progress
342,741,3,2026-08-12,2026-09-08,Completed
343,1417,21,2024-03-11,2024-03-18,Completed
344,1789,3,2024-01-04,,Not Started
345,136,31,2026-03-24,,In Progress
346,554,39,2024-04-26,,In Progress
347,692,3,2026-02-23,,In Progress
348,1095,17,2024-05-05,2024-05-29,Completed
349,570,32,2024-12-30,,In Progress
350,724,5,2026-04-05,2026-04-25,Completed
351,1486,1,2026-07-24,2026-08-24,Completed
352,1570,3,2024-03-05,2024-03-25,Completed
353,329,20,2025-12-07,2025-12-27,Completed
354,1894,30,2024-12-25,2025-01-13,Completed
355,1624,30,2024-04-16,,In Progress
356,1589,33,2024-08-05,2024-08-31,Completed
357,1306,18,2025-08-23,,In Progress
358,138,39,2026-02-01,2026-02-24,Completed
359,1913,37,2025-05-21,2025-06-06,Completed
360,794,11,2025-01-12,2025-01-18,Completed
361,75,17,2024-01-04,2024-01-09,Completed
362,1362,38,2025-10-26,2025-11-20,Completed
363,1716,1,2024-11-18,,Dropped
364,175,4,2024-04-08,2024-05-01,Completed
365,1570,3,2024-05-19,2024-06-15,Completed
366,1130,28,2024-12-14,2025-01-13,Completed
367,67,32,2025-10-15,2025-10-30,Completed
368,1100,33,2024-10-27,2024-11-06,Completed
369,113,38,2025-11-11,,Not Started
370,281,27,2026-04-15,2026-04-25,Completed
371,575,12,2025-02-25,,Not Started
372,1998,20,2024-03-17,2024-04-14,Completed
373,615,16,2024-01-27,,Not Started
374,672,5,2024-04-05,,Dropped
375,1908,20,2025-09-05,,Dropped
376,743,3,2024-09-27,,In Progress
377,652,36,2024-07-06,2024-07-26,Completed
378,1640,2,2024-02-20,2024-03-23,Completed
379,1127,30,2026-07-23,,Dropped
380,1663,28,2026-08-15,2026-09-11,Completed
381,1119,10,2025-07-19,2025-07-28,Completed
382,1834,16,2026-08-11,2026-08-28,Completed
383,191,25,2024-10-02,,In Progress
384,281,2,2025-08-25,2025-09-17,Completed
385,88,18,2025-01-04,2025-01-11,Completed
386,542,4,2025-07-28,,Dropped
387,508,2,2024-06-21,2024-07-17,Completed
388,1436,36,2025-10-07,,In Progress
389,964,6,2025-12-26,2026-01-26,Completed
390,1961,33,2025-11-29,2025-12-19,Completed
391,11,26,2026-06-15,2026-07-16,Completed
392,1495,31,2024-07-11,2024-07-26,Completed
393,122,16,2025-09-19,2025-09-29,Completed
394,1690,20,2024-12-18,2025-01-10,Completed
395,843,37,2024-10-21,2024-11-11,Completed
396,1754,36,2025-12-24,2026-01-15,Completed
397,1240,19,2024-04-27,2024-05-07,Completed
398,1530,8,2024-05-11,2024-06-06,Completed
399,1189,3,2025-11-18,2025-12-20,Completed
400,83,7,2024-09-12,,In Progress
401,1498,2,2025-02-08,2025-02-22,Completed
402,567,39,2025-08-11,2025-08-19,Completed
403,1469,3,2025-12-13,2025-12-26,Completed
404,700,6,2024-05-27,2024-06-24,Completed
405,1609,3,2025-01-12,2025-02-04,Completed
406,776,26,2025-11-27,2025-12-24,Completed
407,413,35,2024-05-29,2024-06-15,Completed
